GSWA_sample_id,GSWA_geochron_id,analytical_spot_id,age_Ma,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,U238_ppm,Th232_ppm,groupno,P2O5_pct,SiO2_pct,Zr_ppm,oscillatory_zonation,sector_zonation,homogenous_zonation
88411,88411.1,,1795,14717.52,136.89,501.7,95.92,198.81,0.98,15055.78,0.73,0.47,0.69,2.07,90.17,196.38,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,10.1,1795,9413.85,109.48,428.26,69.19,178.55,0.96,9822.32,0.65,0.38,0.61,2.58,71.64,174.67,248,194,I,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,8967.09,106.85,384.62,78.15,147.74,0.98,9142.6,0.76,0.52,0.72,1.89,76.93,152.92,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,9342.05,109.06,381.43,81.02,147.93,0.98,9507.99,0.81,0.54,0.74,1.83,77.05,146.05,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,10891.35,117.76,439.41,78.25,179.41,0.98,11153.02,0.71,0.43,0.66,2.29,75.79,177.06,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,15330.22,139.71,509.15,98.7,200.75,0.98,15638.16,0.74,0.48,0.7,2.03,93.47,197.96,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,10663.18,116.52,423.76,84.13,164.34,0.98,10878.58,0.75,0.5,0.71,1.95,80.91,164.25,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,9.1,1795,11117.92,118.98,414.38,116.09,123.65,0.96,11577.44,0.81,0.93,0.96,1.07,115.45,133.04,218,161,I,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,9394.7,109.37,418.53,69.32,176.03,0.98,9600.53,0.67,0.39,0.62,2.54,64.81,165.61,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,11780.08,122.47,479.52,76.01,202.68,0.97,12110.36,0.64,0.37,0.6,2.67,71.53,199.61,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,8231.53,102.38,425.12,60.37,176.68,0.96,8608.09,0.57,0.34,0.58,2.93,58.54,169.94,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,12142.27,124.34,462.5,86.22,182.01,0.96,12654.45,0.71,0.47,0.68,2.11,86.29,180.67,,,,0.168,66.718,160.9,1,0,0
