,GSWA_sample_id,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,U238_ppm,Th232_ppm,SiO2_pct,oscillatory_zonation,sector_zonation,homogenous_zonation,bin
101,142821,11962.52,123.41,433.03,95.03,160.77,0.98,12157.78,0.8,0.59,0.77,1.69,94.31,161.05,80.0,26.0,65.66,1,0,0,70.0
102,142821,10027.73,112.99,398.0,87.77,146.35,0.98,10182.41,0.8,0.6,0.77,1.67,87.51,152.24,73.0,30.0,65.66,1,0,0,70.0
103,142821,8521.48,104.16,375.48,77.45,141.24,0.97,8744.62,0.76,0.54,0.74,1.82,80.98,145.62,122.0,36.0,65.66,1,0,0,70.0
104,142821,9586.5,110.48,419.32,71.29,172.71,0.98,9821.06,0.69,0.41,0.64,2.42,70.0,167.7,157.0,54.0,65.66,1,0,0,70.0
105,142821,5380.92,82.77,301.0,58.5,119.16,0.98,5482.35,0.75,0.48,0.69,2.04,57.4,119.4,267.0,184.0,65.66,1,0,0,70.0
106,142821,10760.57,117.05,405.19,94.61,145.29,0.98,10925.39,0.82,0.65,0.81,1.54,95.78,148.12,101.0,31.0,65.66,1,0,0,70.0
107,142821,10169.73,113.79,407.24,85.43,153.68,0.98,10377.66,0.77,0.55,0.74,1.8,83.33,154.67,128.0,48.0,65.66,1,0,0,70.0
108,142821,5557.15,84.12,301.23,61.92,115.0,0.98,5673.8,0.77,0.54,0.73,1.86,62.77,116.89,87.0,21.0,65.66,1,0,0,70.0
109,142821,10518.4,115.73,405.42,88.65,151.36,0.98,10687.03,0.8,0.58,0.76,1.71,90.14,153.12,83.0,24.0,65.66,1,0,0,70.0
110,142821,8395.95,103.39,378.39,71.1,150.75,0.99,8507.53,0.74,0.47,0.69,2.12,72.51,154.76,191.0,95.0,65.66,1,0,0,70.0
111,142821,7704.96,99.05,383.67,62.97,157.96,0.97,7904.01,0.66,0.39,0.63,2.51,63.27,156.71,294.0,189.0,65.66,1,0,0,70.0
112,142821,5869.05,86.44,325.07,59.37,128.03,0.96,6118.83,0.7,0.46,0.68,2.16,60.9,128.37,72.0,27.0,65.66,1,0,0,70.0
113,142821,7798.78,99.65,345.16,82.0,121.78,0.98,7940.78,0.82,0.67,0.82,1.49,81.48,124.92,96.0,35.0,65.66,1,0,0,70.0
114,142821,8805.48,105.88,377.73,77.52,144.93,0.98,8943.68,0.78,0.53,0.73,1.87,79.28,149.42,116.0,51.0,65.66,1,0,0,70.0
115,142821,9975.74,112.7,397.39,89.13,143.91,0.98,10186.21,0.79,0.61,0.78,1.61,94.36,151.0,173.0,98.0,65.66,1,0,0,70.0
116,142821,9093.29,107.6,376.91,81.08,143.28,0.98,9240.37,0.8,0.56,0.75,1.77,79.46,144.0,89.0,41.0,65.66,1,0,0,70.0
117,142926,12774.55,127.53,534.76,74.07,225.94,0.96,13254.84,0.56,0.32,0.56,3.05,69.67,219.57,4774.0,208.0,64.02,1,0,1,65.0
118,142926,10820.6,117.38,460.68,72.76,193.03,0.97,11119.3,0.64,0.37,0.61,2.65,69.91,185.85,1127.0,82.0,64.02,1,0,1,65.0
119,142926,9755.81,111.45,427.56,71.48,175.52,0.98,9956.27,0.67,0.4,0.63,2.46,68.74,168.8,1823.0,80.0,64.02,1,0,1,65.0
120,142926,9160.4,108.0,428.02,72.46,166.78,0.95,9658.56,0.63,0.42,0.65,2.3,68.61,167.32,3809.0,152.0,64.02,1,0,1,65.0
121,142926,6003.73,87.43,325.24,59.38,129.13,0.98,6133.73,0.71,0.46,0.68,2.17,59.06,129.2,1776.0,78.0,64.02,1,0,1,65.0
122,142926,7250.12,96.08,389.86,57.29,164.7,0.98,7431.72,0.6,0.34,0.58,2.87,55.48,157.88,2811.0,107.0,64.02,1,0,1,65.0
123,142926,9837.18,111.92,556.82,49.78,255.82,0.97,10175.58,0.4,0.19,0.44,5.14,50.4,242.57,698.0,485.0,64.02,1,0,1,65.0
124,142926,11058.77,118.66,460.08,80.37,179.11,0.97,11365.41,0.66,0.44,0.66,2.23,76.69,171.99,4000.0,172.0,64.02,1,0,1,65.0
125,142926,15685.11,141.32,537.32,96.05,211.89,0.98,16018.54,0.68,0.44,0.67,2.21,90.64,202.8,3576.0,157.0,64.02,1,0,1,65.0
126,142926,22964.01,170.99,692.52,99.08,300.1,0.98,23443.32,0.6,0.32,0.57,3.03,93.24,285.46,3775.0,126.0,64.02,1,0,1,65.0
127,142926,14167.81,134.31,484.13,97.3,186.42,0.99,14371.24,0.76,0.52,0.72,1.92,94.27,183.01,2103.0,88.0,64.02,1,0,1,65.0
128,142926,15663.28,141.22,509.87,104.37,191.86,0.98,15971.9,0.76,0.54,0.74,1.84,103.36,192.54,4061.0,124.0,64.02,1,0,1,65.0
129,142926,7910.04,100.36,428.48,54.64,187.15,0.97,8115.45,0.54,0.29,0.54,3.43,52.58,177.23,3392.0,101.0,64.02,1,0,1,65.0
130,142974,16184.88,143.55,563.46,86.85,240.05,0.97,16678.41,0.64,0.36,0.6,2.76,83.86,233.87,115.0,131.0,66.8,1,0,0,70.0
131,142974,36641.94,216.0,874.94,132.78,361.1,0.97,37715.28,0.6,0.36,0.6,2.72,124.1,336.83,112.0,126.0,66.8,1,0,0,70.0
132,142974,16013.82,142.79,643.1,73.61,284.5,0.97,16522.48,0.49,0.25,0.5,3.86,69.86,268.49,98.0,109.0,66.8,1,0,0,70.0
133,142974,24915.43,178.11,682.57,132.65,242.96,0.96,26047.81,0.67,0.54,0.73,1.83,129.38,250.23,78.0,77.0,66.8,1,0,0,70.0
134,142974,27655.55,187.65,675.19,135.3,261.08,0.98,28108.2,0.76,0.52,0.72,1.93,134.16,262.64,101.0,67.0,66.8,1,0,0,70.0
135,142974,25097.09,178.76,738.28,102.75,313.9,0.97,25817.7,0.58,0.32,0.57,3.05,99.85,310.07,184.0,130.0,66.8,1,0,0,70.0
136,142974,10899.93,117.81,449.72,85.91,165.93,0.95,11420.71,0.68,0.5,0.71,1.93,100.87,182.2,117.0,99.0,66.8,1,0,0,70.0
137,142974,10934.75,117.99,430.1,84.33,166.53,0.98,11154.26,0.74,0.5,0.71,1.97,84.35,169.86,180.0,166.0,66.8,1,0,0,70.0
138,142974,8249.13,102.48,379.39,74.67,141.61,0.97,8489.84,0.72,0.52,0.72,1.9,74.56,149.39,154.0,132.0,66.8,1,0,0,70.0
139,142974,20560.0,161.8,613.92,105.27,249.85,0.98,21055.03,0.69,0.42,0.65,2.37,105.46,251.3,162.0,167.0,66.8,1,0,0,70.0
140,142974,25814.67,181.3,670.67,125.62,263.85,0.99,26153.78,0.72,0.47,0.69,2.1,126.44,270.98,128.0,126.0,66.8,1,0,0,70.0
141,143445,4961.55,79.48,288.57,62.4,102.44,0.97,5129.13,0.75,0.6,0.78,1.64,67.3,109.32,655.5013125,828.4611893,49.199,1,1,1,50.0
142,143445,5728.88,85.41,297.5,77.39,96.33,0.97,5876.95,0.81,0.79,0.89,1.24,73.92,98.87,134.8570486,127.4851528,49.199,1,1,1,50.0
143,143445,7280.76,96.28,351.84,73.12,127.69,0.97,7503.44,0.74,0.57,0.75,1.75,80.25,130.61,640.8424365,929.5091928,49.199,1,1,1,50.0
144,143445,5655.99,84.86,289.87,74.58,97.15,0.98,5750.69,0.85,0.76,0.87,1.3,78.79,101.98,344.2844893,355.4819483,49.199,1,1,1,50.0
145,143445,4224.63,73.34,271.28,55.71,98.36,0.95,4458.22,0.72,0.56,0.75,1.77,58.93,99.07,454.5043706,574.4793518,49.199,1,1,1,50.0
146,143445,4063.36,71.93,266.11,62.89,88.03,0.95,4267.68,0.72,0.67,0.82,1.4,66.89,91.37,250.0407747,159.9811173,49.199,1,1,1,50.0
147,143445,7194.1,95.71,364.45,72.27,131.63,0.96,7485.65,0.68,0.53,0.73,1.82,65.78,133.78,132.1131939,109.4922126,49.199,1,1,1,50.0
